2021-11-13 19:17:31+00:00,Thank you very much #latvija Latvijas Futbola federācija #Latvia,"['latvija', 'Latvia']",Mümtaz Öztürk,,0,259,3610
2021-11-13 18:40:07+00:00,RT @vx_lv: Sirsnīgi sveicieni Latvijas patriotu nedēļā! Sarkanbaltsarkanais karogs ir kopā ar mums visās ekspedīcijās. Bija arī Pamira kaln…,[],BērzmārisMārtiņš,Latvija,1,152,33823
2021-11-13 16:48:43+00:00,"RT @lvrepublikarblx: Vai vēlies attīstīt savas zināšanas par Latviju interesantā veidā? Pievienojies mūsu grupai aplikācijā ""Roblox"" un att…",[],Roblox Dev Retweet Bot,,23,2457,206216
2021-11-13 16:48:39+00:00,"RT @lvrepublikarblx: Vai vēlies attīstīt savas zināšanas par Latviju interesantā veidā? Pievienojies mūsu grupai aplikācijā ""Roblox"" un att…",[],SkyBlox Retweet,Roblox,23,4439,672835
2021-11-13 15:32:24+00:00,"RT @breakinglv: 🇱🇻 Uz lielceļa #P4 (Rīga-Ērgļi) netālu no #Gaidas #Ropaži #Latvija deg automašīna.
🎥 Broņislavs Jakovļevs (Jezduni) https:/…","['P4', 'Gaidas', 'Ropaži', 'Latvija']",Larisa,"Madona, Latvija",1,15,2022
2021-11-13 14:14:06+00:00,Izzinošais vakars #būtarSelgu - 12.nov. atvērtajā audzināšanas stundā atcerējāmies trimdas laikus Selgā. Piemērots… https://t.co/JRuKTIb8iw,['būtarSelgu'],Stud! korp! Selga,"Rīga, Latvija",0,330,1255
2021-11-13 09:25:53+00:00,"🇱🇻 Uz lielceļa #P4 (Rīga-Ērgļi) netālu no #Gaidas #Ropaži #Latvija deg automašīna.
🎥 Broņislavs Jakovļevs (Jezduni) https://t.co/oXingM5Vvn","['P4', 'Gaidas', 'Ropaži', 'Latvija']",BreakingLV,Latvia,1,6569,21965
2021-11-13 07:32:32+00:00,"Divas supergardas un ekskluzīvas zivis - Āfrikas samu un Stērleti, kūpināsim Latvijas dzimšanas dienā - ceturtdien,… https://t.co/gM5LUWaBrS",[],[Ex] da Bass,"Riga, Latvia",0,2398,7567
2021-11-13 06:07:38+00:00,"RT @JurgisKreilis: Noskriet rudeni
https://t.co/xuyesQBbGE

#latvija #Латвия #instalatvia #bestofbaltics #discoverlatvia #explorelatvia #ig…","['latvija', 'Латвия', 'instalatvia', 'bestofbaltics', 'discoverlatvia', 'explorelatvia']",FilmDay,"Riga, Latvia",1,95,394
2021-11-13 00:37:12+00:00,"RT @lvrepublikarblx: Vai vēlies attīstīt savas zināšanas par Latviju interesantā veidā? Pievienojies mūsu grupai aplikācijā ""Roblox"" un att…",[],SkyBlox Retweet,Roblox,23,4439,672835
2021-11-13 00:18:06+00:00,"RT @NFrancuzevics: Es mīlu Tevi, Latvija ❤🇱🇻❤
#Latvija #Seda #Latvia 🇱🇻 

https://t.co/IOWd2KEDhT","['Latvija', 'Seda', 'Latvia']",Nauris Francuzēvičs,"Seda, Latvija",2,72,2065
2021-11-12 21:10:49+00:00,Sirsnīgi sveicieni Latvijas patriotu nedēļā! Sarkanbaltsarkanais karogs ir kopā ar mums visās ekspedīcijās. Bija ar… https://t.co/mO9HI2lW5C,[],KristapsVX Liepiņš,"Latvia, Riga",1,4825,9227
2021-11-12 14:37:03+00:00,"#Aizdevums pret nekustamo ipasumu ķīlu / biznesam
* bezmaksas konsultācijas
+371 26018000 / 09:00 - 20:00
Online Pi… https://t.co/J3JGzKsxKw",['Aizdevums'],Kredits Pro,,0,4,402
2021-11-12 11:02:26+00:00,"RT @lvrepublikarblx: Vai vēlies attīstīt savas zināšanas par Latviju interesantā veidā? Pievienojies mūsu grupai aplikācijā ""Roblox"" un att…",[],Roblox Dev Retweet Bot,,23,2457,206216
2021-11-12 11:02:03+00:00,"RT @lvrepublikarblx: Vai vēlies attīstīt savas zināšanas par Latviju interesantā veidā? Pievienojies mūsu grupai aplikācijā ""Roblox"" un att…",[],SkyBlox Retweet,Roblox,23,4439,672835
2021-11-12 08:47:02+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Ivars,,66,6,131
2021-11-12 07:12:51+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Modris 🇱🇻 🇪🇺,Latvia,66,61,668
2021-11-12 07:05:00+00:00,"Noskriet rudeni
https://t.co/xuyesQBbGE

#latvija #Латвия #instalatvia #bestofbaltics #discoverlatvia… https://t.co/m5Q9Qmenc2","['latvija', 'Латвия', 'instalatvia', 'bestofbaltics', 'discoverlatvia']",Jurgis Kreilis,"Riga, Latvia",1,62,455
2021-11-12 07:00:18+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",I.Rozentāle,,66,117,8356
2021-11-12 05:47:03+00:00,#Citplanētieši gaisa kuģu flote Olainē #Latvijā 2018. gadā katru dienu apmeklēja man #Olainē lai izzagtu bezgalības… https://t.co/Tf5lHRJLyS,"['Citplanētieši', 'Latvijā', 'Olainē']",Lauris Bergs,,0,241,2835
2021-11-12 05:37:58+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Miks Latvis 🗻,"Yokohama, Japan",66,3279,37750
2021-11-12 05:11:10+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Dmitry Golubev,"Riga, Latvia",66,3066,77662
2021-11-12 05:10:41+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Inga Skruzmane,"Ottawa, Ontario",66,255,5208
2021-11-11 22:45:45+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Štrauss,Latvia,66,78,1043
2021-11-11 22:13:46+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",kaspars ozols,Latvia,66,501,8028
2021-11-11 21:58:23+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Kārlis Krastiņš,"Riga, Latvia",66,503,7021
2021-11-11 21:33:45+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Ieva Pētersone,,66,91,1542
2021-11-11 21:22:34+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Ieva,"Riga, Latvia",66,131,701
2021-11-11 21:07:11+00:00,"RT @tolstovs1: Tuvojoties valsts svētkiem, Salaspils katoļu baznīca ir izgaismota Latvijas karoga krāsās @SalaspilsLv @Salaspilsnovads #Sal…",[],Aija T,Riga,3,68,2079
2021-11-11 19:57:29+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Polkadot,,66,0,3
2021-11-11 19:45:57+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Linda Zvaune,Latvia,66,250,1281
2021-11-11 19:45:25+00:00,"RT @LeonidsKalnins: 🇱🇻Sveicu Lāčplēša dienā!🇱🇻
Spēcīgi bruņotie spēki, droša un aizsargāta Latvija!

Saite uz video apsveikuma pilno versij…",[],Ruta Mūrniece,Latvija,9,64,1642
2021-11-11 19:26:34+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Lelde,LV,66,155,3171
2021-11-11 19:22:28+00:00,"Paldies Ikvienam Un Ikkatram kas ""nolieca"" galvu lai mēs būtu šeit un varētu teikt Šos Pateicības vārdus!!
#Latvija… https://t.co/Da3nwaGblL",['Latvija'],BlindaDomatāja🚲👍😻🇱🇻,"Rīga, Latvija",0,62,103
2021-11-11 19:11:12+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Peliite 113,,66,728,18715
2021-11-11 19:00:57+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Arnis Lisovskis,Latvija,66,106,4341
2021-11-11 18:54:58+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Liesma,Latvia,66,17,1792
2021-11-11 18:53:00+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",BērzmārisMārtiņš,Latvija,66,152,33823
2021-11-11 18:45:26+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Rasma Zvejniece,,66,90,1179
2021-11-11 18:44:00+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Iluta,"Latvia, Riga",66,352,3571
2021-11-11 18:29:44+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",EVIKA,"Riga, Latvia",66,1441,4001
